GSMID,tissue1,tissue2,tissue3,Tissue,disease1,disease2,disease3,Disease,Genotype
GSM434131,Lung,Lung,,Lung,Control,Normal,,Normal,Genotype unknown
GSM434132,Lung,Lung,,Lung,Control,Normal,,Normal,Genotype unknown
GSM434133,Lung,Lung,,Lung,Control,Normal,,Normal,Genotype unknown
GSM434134,Lung,Lung,,Lung,Control,Normal,,Normal,Genotype unknown
GSM1145189,Lung,Lung,,Lung,Control,Normal,,Normal,Genotype unknown
GSM1145190,Lung,Lung,,Lung,Control,Normal,,Normal,Genotype unknown
GSM1145191,Lung,Lung,,Lung,Control,Normal,,Normal,Genotype unknown
GSM1533833,Lung,Lung,,Lung,Control,Normal,,Normal,Genotype unknown
GSM1533834,Lung,Lung,,Lung,Control,Normal,,Normal,Genotype unknown
GSM1533835,Lung,Lung,,Lung,Control,Normal,,Normal,Genotype unknown
GSM1533836,Lung,Lung,,Lung,Control,Normal,,Normal,Genotype unknown
GSM1533837,Lung,Lung,,Lung,Control,Normal,,Normal,Genotype unknown
GSM258690,Lung,Lung,,Lung,Control,Normal,,Normal,Genotype unknown
GSM1554216,Lung,Lung parenchyma,,Lung parenchyma,Control,Normal,,Normal,Genotype unknown
GSM1554217,Lung,Lung parenchyma,,Lung parenchyma,Control,Normal,,Normal,Genotype unknown
GSM1554218,Lung,Lung parenchyma,,Lung parenchyma,Control,Normal,,Normal,Genotype unknown
GSM194365,Lymph node,Lymph node,,Lymph node,Control,Normal,,Normal,Wild type
GSM194366,Lymph node,Lymph node,,Lymph node,Control,Normal,,Normal,Wild type
GSM194367,Lymph node,Lymph node,,Lymph node,Control,Normal,,Normal,Wild type
GSM194368,Lymph node,Lymph node,,Lymph node,Control,Normal,,Normal,Wild type
GSM194369,Lymph node,Lymph node,,Lymph node,Control,Normal,,Normal,Wild type
GSM194370,Lymph node,Lymph node,,Lymph node,Control,Normal,,Normal,Wild type
GSM194372,Lymph node,Lymph node,,Lymph node,Control,Normal,,Normal,Wild type
GSM194373,Lymph node,Lymph node,,Lymph node,Control,Normal,,Normal,Wild type
GSM194374,Lymph node,Lymph node,,Lymph node,Control,Normal,,Normal,Wild type
GSM932976,Skin,Skin,,Skin,Control,Normal,,Normal,Genotype unknown
GSM932977,Skin,Skin,,Skin,Control,Normal,,Normal,Genotype unknown
GSM932978,Skin,Skin,,Skin,Control,Normal,,Normal,Genotype unknown
GSM932979,Skin,Skin,,Skin,Control,Normal,,Normal,Genotype unknown
GSM995716,Spleen,Spleen,,Spleen,Control,Normal,,Normal,Genotype unknown
GSM995717,Spleen,Spleen,,Spleen,Control,Normal,,Normal,Genotype unknown
GSM995718,Spleen,Spleen,,Spleen,Control,Normal,,Normal,Genotype unknown
GSM995719,Spleen,Spleen,,Spleen,Control,Normal,,Normal,Genotype unknown
GSM995720,Spleen,Spleen,,Spleen,Control,Normal,,Normal,Genotype unknown
GSM258767,Spleen,Spleen,,Spleen,Control,Normal,,Normal,Genotype unknown
GSM258768,Spleen,Spleen,,Spleen,Control,Normal,,Normal,Genotype unknown
GSM995743,Thymus,Thymus,,Thymus,Control,Normal,,Normal,Genotype unknown
GSM995744,Thymus,Thymus,,Thymus,Control,Normal,,Normal,Genotype unknown
GSM995745,Thymus,Thymus,,Thymus,Control,Normal,,Normal,Genotype unknown
GSM544755,Thymus,Thymus,,Thymus,Control,Normal,,Normal,Wild type
GSM544756,Thymus,Thymus,,Thymus,Control,Normal,,Normal,Wild type
GSM544757,Thymus,Thymus,,Thymus,Control,Normal,,Normal,Wild type
GSM544758,Thymus,Thymus,,Thymus,Control,Normal,,Normal,Wild type
GSM544759,Thymus,Thymus,,Thymus,Control,Normal,,Normal,NDR1 heterozygote
GSM544760,Thymus,Thymus,,Thymus,Control,Normal,,Normal,NDR1 heterozygote
GSM544761,Thymus,Thymus,,Thymus,Control,Normal,,Normal,NDR1 heterozygote
GSM544762,Thymus,Thymus,,Thymus,Control,Normal,,Normal,NDR1 heterozygote
GSM544763,Thymus,Thymus,,Thymus,Control,Normal,,Normal,NDR1 KO
GSM544764,Thymus,Thymus,,Thymus,Control,Normal,,Normal,NDR1 KO
GSM544765,Thymus,Thymus,,Thymus,Control,Normal,,Normal,NDR1 KO
GSM544766,Thymus,Thymus,,Thymus,Control,Normal,,Normal,NDR1 KO
GSM364841,Thymus,Thymus,,Thymus,Control,Normal,,Normal,Genotype unknown
GSM364842,Thymus,Thymus,,Thymus,Control,Normal,,Normal,Genotype unknown
GSM364850,Thymus,Thymus,,Thymus,Control,Normal,,Normal,Genotype unknown
GSM2741468,Bone,Calvaria,,Calvaria,Developmental anomalies,Bone overgrowth,,Bone overgrowth,Col10a1-13del
GSM2741469,Bone,Calvaria,,Calvaria,Developmental anomalies,Bone overgrowth,,Bone overgrowth,Col10a1-13del
GSM2741470,Bone,Calvaria,,Calvaria,Developmental anomalies,Bone overgrowth,,Bone overgrowth,Col10a1-13del
GSM622153,Lung,Lung,,Lung,Developmental anomalies,Bronchopulmonary dysplasia,,Bronchopulmonary dysplasia,Genotype unknown
GSM622154,Lung,Lung,,Lung,Developmental anomalies,Bronchopulmonary dysplasia,,Bronchopulmonary dysplasia,Genotype unknown
GSM622155,Lung,Lung,,Lung,Developmental anomalies,Bronchopulmonary dysplasia,,Bronchopulmonary dysplasia,Genotype unknown
GSM770098,Intestine,Large intestine,Colorectum,Colorectum,Developmental anomalies,Dysplasia,,Dysplasia,Genotype unknown
GSM770099,Intestine,Large intestine,Colorectum,Colorectum,Developmental anomalies,Dysplasia,,Dysplasia,Genotype unknown
