"","B cell","Dendritic cell","Macrophage","T cell","Basophil","Monocyte","Neutrophil","NK cell"
"Cebpe",0,0,53.2786885245902,2.64830508474576,1143.2664756447,93.9226519337017,348.320693391116,11.4285714285714
"Gfi1b",0,0,8.19672131147541,0,2.86532951289398,11.0497237569061,1.62513542795233,0
"Gm16194",0,0,0,0,5.73065902578797,0,0.541711809317443,0
"Gm43291",103.413654618474,0,8.19672131147541,1.58898305084746,5.73065902578797,0,4.87540628385699,17.1428571428571
"Ngp",1.00401606425703,0,4.09836065573771,0,70349.5702005731,11.0497237569061,25985.3737811484,22.8571428571429
"Pax5",19.578313253012,17.3913043478261,0,0.529661016949153,0,11.0497237569061,11.3759479956663,28.5714285714286
"Prg2",356.927710843374,8.69565217391304,8.19672131147541,2.64830508474576,57.3065902578797,38.6740331491713,646.26218851571,2.85714285714286
"Ccr6",4.01606425702811,0,0,1.58898305084746,0,0,0.541711809317443,0
"Clec4a4",0,0,20.4918032786885,0.529661016949153,0,5.52486187845304,1.08342361863489,2.85714285714286
"Ear6",0,0,0,0,5.73065902578797,11.0497237569061,133.802816901408,5.71428571428571
"Epx",0,0,0,0,2.86532951289398,16.5745856353591,90.465872156013,2.85714285714286
"Gzmk",8.03212851405622,26.0869565217391,20.4918032786885,289.194915254237,0,0,0,5.71428571428571
"Tmigd3",0.502008032128514,8.69565217391304,0,0,0,0,1.08342361863489,0
"4930430E12Rik",0,0,4.09836065573771,0,0,0,0,0
"Muc6",2.00803212851406,0,4.09836065573771,0.529661016949153,0,0,1.08342361863489,0
"Tph1",2.00803212851406,0,0,4.23728813559322,0,0,0,0
"Gm11695",0,0,0,0.529661016949153,0,0,0,0
"Gm6209",0,0,0,0,0,0,0.541711809317443,0
"Gm8221",0,0,4.09836065573771,0,0,0,0,0
